Child Product,CPG,Month,Shipment in Child Cases,PPG,Parent Prod, Shipment in parent Prod Cases ,Inventory_Parent_Cases
S22,C2,201807,41,P14,S22,41,13
S23,C2,201807,46,P14,S23,46,0
S22,C1,201807,53,P14,S22,53,24
S23,C1,201807,50,P14,S23,50,0
S1,C1,201807,25,P1,S1,25,1
S4,C1,201807,449,P3,S4,449,0
S5,C1,201807,560,P4,S52,420,2
S6,C1,201807,170,P5,S6,170,1
S7,C1,201807,27,P6,S7,27,1
S9,C1,201807,6,P8,S9,6,2
S28,C1,201807,158,P15,S63,158,5
S44,C5,201807,108,P20,S44,108,0
S45,C5,201807,229,P7,S8,229,0
S40,C1,201807,"6,569",P11,S66,"6,569",10
S41,C1,201807,"1,608",P16,S57,"1,608",0
S46,C1,201807,"3,305",P15,S63,"3,305",3
S42,C1,201807,43,P12,S68,43,5
S38,C4,201807,31,P17,S31,31,0
S39,C4,201807,6,P17,S32,6,0
S13,C4,201807,83,P12,S68,83,0
S6,C4,201807,12,P5,S6,12,0
S1,C4,201807,3,P1,S1,3,0
S8,C4,201807,23,P7,S8,23,0
S5,C4,201807,5,P4,S52,4,0
S47,C4,201807,65,P11,S66,65,0
S46,C4,201807,24,P15,S63,24,0
S41,C4,201807,1,P16,S57,1,0
S48,C4,201807,100,P12,S68,100,0
S7,C4,201807,2,P6,S7,2,0
S9,C4,201807,6,P8,S9,6,0
S20,C4,201807,2,P13,S20,2,0
S37,C4,201807,4,P13,S21,2,0
S1,C2,201807,99,P1,S1,99,2
S36,C2,201807,196,P13,S20,98,1
S37,C2,201807,281,P13,S21,141,4
S6,C2,201807,307,P5,S6,307,11
S9,C2,201807,85,P8,S9,85,2
S10,C2,201807,62,P9,S10,62,0
S3,C2,201807,38,P2,S3,38,0
S7,C2,201807,140,P6,S7,140,2
S45,C2,201807,191,P7,S8,191,5
S29,C2,201807,9,P18,S29,9,0
S30,C2,201807,9,P19,S30,9,3
S1,C3,201807,88,P1,S1,88,2
S3,C3,201807,39,P2,S3,39,2
S3,C1,201807,12,P2,S3,12,1
S4,C3,201807,270,P3,S4,270,1
S5,C3,201807,137,P4,S52,103,0
S5,C2,201807,370,P4,S52,278,2
S50,C3,201807,618,P15,S63,618,9
S50,C2,201807,409,P15,S63,409,1
S43,C2,201807,732,P15,S62,732,7
S50,C1,201807,"1,428",P15,S63,"1,428",16
S6,C3,201807,933,P5,S6,933,16
S7,C3,201807,88,P6,S7,88,0
S9,C3,201807,151,P8,S9,151,1
S10,C3,201807,178,P9,S10,178,1
S10,C1,201807,5,P9,S10,5,1
S32,C3,201807,-1,P17,S32,-1,1
S31,C3,201807,-2,P17,S31,-2,5
S26,C2,201807,1,P17,S31,1,0
S27,C2,201807,-2,P17,S32,-2,12
S30,C3,201807,19,P19,S30,19,1
S29,C3,201807,23,P18,S29,23,6
S29,C1,201807,5,P18,S29,5,1
S41,C2,201807,409,P16,S57,409,2
S47,C3,201807,672,P11,S66,672,8
S47,C2,201807,488,P11,S66,488,37
S40,C2,201807,"3,758",P11,S66,"3,758",38
S47,C1,201807,"1,060",P11,S66,"1,060",7
S48,C3,201807,71,P12,S68,71,3
S42,C2,201807,"2,572",P12,S68,"2,572",11
S48,C1,201807,"10,688",P12,S68,"10,688",14
S25,C3,201807,3,P16,S57,3,3
S33,C3,201807,621,P15,S62,621,0
S25,C2,201807,35,P16,S57,35,1
S36,C3,201807,5,P13,S20,3,4
S37,C3,201807,164,P13,S21,82,7
S34,C3,201807,41,P19,S30,41,2
S34,C2,201807,23,P19,S30,23,1
S34,C1,201807,5,P19,S30,5,1
S45,C3,201807,88,P7,S8,88,2
S45,C1,201807,38,P7,S8,38,0
S1,C5,201808,75,P1,S1,75,0
S3,C5,201808,70,P2,S3,70,0
S4,C2,201808,"1,280",P3,S4,"1,280",1
S4,C5,201808,"14,225",P3,S4,"14,225",0
S5,C5,201808,246,P4,S52,185,0
S6,C5,201808,176,P5,S6,176,0
S7,C5,201808,18,P6,S7,18,0
S8,C3,201808,104,P7,S8,104,1
S8,C5,201808,282,P7,S8,282,0
S8,C2,201808,106,P7,S8,106,2
S9,C5,201808,210,P8,S9,210,0
S10,C5,201808,26,P9,S10,26,0
S8,C1,201808,58,P7,S8,58,3
S11,C3,201808,21,P10,S11,21,1
S11,C2,201808,3,P10,S11,3,0
S11,C1,201808,4,P10,S11,4,1
S12,C2,201808,2,P11,S66,2,3
S38,C3,201808,"1,898",P17,S31,"1,898",17
S38,C2,201808,"1,326",P17,S31,"1,326",2
S38,C1,201808,"1,407",P17,S31,"1,407",13
S39,C2,201808,"1,492",P17,S32,"1,492",3
S39,C1,201808,"1,145",P17,S32,"1,145",5
S39,C3,201808,652,P17,S32,652,1
S20,C5,201808,45,P13,S20,45,0
S20,C1,201808,13,P13,S20,13,7
S21,C3,201808,1,P13,S21,1,2
S21,C2,201808,8,P13,S21,8,1
S21,C1,201808,22,P13,S21,22,2
S22,C5,201808,548,P14,S22,548,0
S23,C5,201808,547,P14,S23,547,0
S22,C3,201808,118,P14,S22,118,4
S23,C3,201808,71,P14,S23,71,10
S22,C2,201808,42,P14,S22,42,13
S23,C2,201808,43,P14,S23,43,10
S22,C1,201808,28,P14,S22,28,18
S23,C1,201808,32,P14,S23,32,6
S1,C1,201808,26,P1,S1,26,2
S4,C1,201808,"1,632",P3,S4,"1,632",4
S5,C1,201808,612,P4,S52,459,3
S6,C1,201808,153,P5,S6,153,1
S7,C1,201808,23,P6,S7,23,1
S9,C1,201808,14,P8,S9,14,1
S44,C5,201808,"1,187",P20,S44,"1,187",0
S45,C5,201808,389,P7,S8,389,0
S40,C1,201808,"7,269",P11,S66,"7,269",21
S41,C1,201808,621,P16,S57,621,2
S52,C5,201808,379,P4,S52,379,0
S46,C1,201808,"1,063",P15,S63,"1,063",11
S42,C1,201808,"2,305",P12,S68,"2,305",12
S38,C4,201808,2,P17,S31,2,0
S39,C4,201808,27,P17,S32,27,0
S6,C4,201808,9,P5,S6,9,0
S10,C4,201808,2,P9,S10,2,0
S1,C4,201808,1,P1,S1,1,0
S8,C4,201808,33,P7,S8,33,0
S3,C4,201808,1,P2,S3,1,0
S5,C4,201808,5,P4,S52,4,0
S44,C4,201808,1,P20,S44,1,0
S47,C4,201808,33,P11,S66,33,0
S46,C4,201808,20,P15,S63,20,0
S50,C4,201808,18,P15,S63,18,0
S41,C4,201808,2,P16,S57,2,0
S7,C4,201808,1,P6,S7,1,0
S53,C4,201808,52,P5,S6,26,0
S20,C4,201808,11,P13,S20,11,0
S21,C4,201808,1,P13,S21,1,0
S1,C2,201808,104,P1,S1,104,0
S52,C2,201808,42,P4,S52,42,2
S44,C2,201808,60,P20,S44,60,0
S6,C2,201808,292,P5,S6,292,5
S9,C2,201808,81,P8,S9,81,3
S10,C2,201808,70,P9,S10,70,0
S3,C2,201808,24,P2,S3,24,0
S54,C2,201808,155,P21,S54,155,0
S7,C2,201808,150,P6,S7,150,0
S45,C2,201808,50,P7,S8,50,0
S29,C2,201808,19,P18,S29,19,0
S30,C2,201808,1,P19,S30,1,3
S1,C3,201808,107,P1,S1,107,2
S3,C3,201808,64,P2,S3,64,3
S3,C1,201808,15,P2,S3,15,1
S4,C3,201808,567,P3,S4,567,0
S5,C3,201808,101,P4,S52,76,1
S5,C2,201808,314,P4,S52,235,1
S50,C3,201808,992,P15,S63,992,3
S43,C3,201808,200,P15,S62,200,0
S46,C2,201808,368,P15,S63,368,8
S50,C2,201808,"1,294",P15,S63,"1,294",3
S43,C2,201808,244,P15,S62,244,2
S50,C1,201808,"5,669",P15,S63,"5,669",10
S6,C3,201808,5,P5,S6,5,3
S7,C3,201808,123,P6,S7,123,1
S9,C3,201808,175,P8,S9,175,1
S10,C3,201808,181,P9,S10,181,4
S10,C1,201808,11,P9,S10,11,1
S26,C2,201808,0,P17,S31,0,1
S27,C2,201808,-5,P17,S32,-4,1
S29,C3,201808,25,P18,S29,25,0
S29,C1,201808,4,P18,S29,4,3
S41,C2,201808,34,P16,S57,34,2
S47,C3,201808,"1,004",P11,S66,"1,004",7
S47,C2,201808,498,P11,S66,498,0
S40,C2,201808,"3,512",P11,S66,"3,512",44
S47,C1,201808,"2,159",P11,S66,"2,159",1
S48,C3,201808,78,P12,S68,78,2
S48,C2,201808,478,P12,S68,478,9
S42,C2,201808,"2,248",P12,S68,"2,248",27
S48,C1,201808,"11,457",P12,S68,"11,457",11
S25,C3,201808,5,P16,S57,5,3
S25,C2,201808,0,P16,S57,0,1
S36,C3,201808,822,P13,S20,411,4
S37,C3,201808,219,P13,S21,110,0
S36,C1,201808,"1,448",P13,S20,724,1
S37,C1,201808,916,P13,S21,458,1
S34,C3,201808,67,P19,S30,67,4
S34,C2,201808,73,P19,S30,73,1
S34,C1,201808,6,P19,S30,6,3
S44,C3,201808,228,P20,S44,228,1
S44,C1,201808,25,P20,S44,25,1
S53,C3,201808,"2,416",P5,S6,"1,208",28
S45,C3,201808,88,P7,S8,88,1
S45,C1,201808,50,P7,S8,50,0
S54,C3,201808,173,P21,S54,173,0
S54,C1,201808,411,P21,S54,411,0
S1,C5,201809,36,P1,S1,36,0
S3,C5,201809,112,P2,S3,112,0
S4,C2,201809,614,P3,S4,614,7
S4,C5,201809,"9,819",P3,S4,"9,819",0
S6,C5,201809,178,P5,S6,178,0
S7,C5,201809,40,P6,S7,40,0
S8,C3,201809,298,P7,S8,298,1
S8,C5,201809,255,P7,S8,255,0
S8,C2,201809,151,P7,S8,151,2
S9,C5,201809,20,P8,S9,20,0
S10,C5,201809,52,P9,S10,52,0
S8,C1,201809,47,P7,S8,47,3
S11,C3,201809,32,P10,S11,32,1
S11,C2,201809,6,P10,S11,6,0
S11,C1,201809,4,P10,S11,4,1
S38,C3,201809,"1,190",P17,S31,"1,190",18
S38,C2,201809,919,P17,S31,919,2
S38,C1,201809,"1,497",P17,S31,"1,497",11
S39,C2,201809,968,P17,S32,968,7
S39,C1,201809,"1,384",P17,S32,"1,384",15
S39,C3,201809,295,P17,S32,295,1
S20,C5,201809,20,P13,S20,20,0
S20,C1,201809,42,P13,S20,42,7
S21,C1,201809,57,P13,S21,57,2
S22,C5,201809,453,P14,S22,453,0
S23,C5,201809,305,P14,S23,305,0
S22,C3,201809,130,P14,S22,130,4
S23,C3,201809,73,P14,S23,73,10
S22,C2,201809,38,P14,S22,38,11
S23,C2,201809,57,P14,S23,57,10
S22,C1,201809,48,P14,S22,48,14
S23,C1,201809,60,P14,S23,60,5
S36,C5,201809,62,P13,S20,31,0
S1,C1,201809,30,P1,S1,30,2
S4,C1,201809,"1,241",P3,S4,"1,241",3
S5,C1,201809,42,P4,S52,32,1
S6,C1,201809,157,P5,S6,157,0
S7,C1,201809,18,P6,S7,18,1
S9,C1,201809,6,P8,S9,6,1
S44,C5,201809,"1,656",P20,S44,"1,656",0
S45,C5,201809,-3,P7,S8,-3,0
S22,C4,201809,4,P14,S22,4,0
S40,C1,201809,"8,878",P11,S66,"8,878",46
S41,C1,201809,"1,827",P16,S57,"1,827",11
S52,C5,201809,466,P4,S52,466,0
S46,C1,201809,"4,340",P15,S63,"4,340",23
S42,C1,201809,"10,950",P12,S68,"10,950",43
S38,C4,201809,1,P17,S31,1,0
S39,C4,201809,25,P17,S32,25,0
S23,C4,201809,2,P14,S23,2,0
S6,C4,201809,69,P5,S6,69,0
S10,C4,201809,3,P9,S10,3,0
S1,C4,201809,1,P1,S1,1,0
S8,C4,201809,1,P7,S8,1,0
S3,C4,201809,1,P2,S3,1,0
S52,C4,201809,2,P4,S52,2,0
S44,C4,201809,2,P20,S44,2,0
S47,C4,201809,55,P11,S66,55,0
S46,C4,201809,41,P15,S63,41,0
S41,C4,201809,7,P16,S57,7,0
S42,C4,201809,5,P12,S68,5,0
S7,C4,201809,1,P6,S7,1,0
S20,C4,201809,8,P13,S20,8,0
S1,C2,201809,72,P1,S1,72,2
S52,C2,201809,288,P4,S52,288,2
S44,C2,201809,76,P20,S44,76,1
S6,C2,201809,302,P5,S6,302,3
S9,C2,201809,40,P8,S9,40,3
S10,C2,201809,59,P9,S10,59,0
S3,C2,201809,19,P2,S3,19,0
S54,C2,201809,"1,141",P21,S54,"1,141",3
S7,C2,201809,124,P6,S7,124,2
S1,C3,201809,110,P1,S1,110,2
S3,C3,201809,45,P2,S3,45,2
S3,C1,201809,5,P2,S3,5,1
S4,C3,201809,431,P3,S4,431,1
S5,C3,201809,97,P4,S52,73,1
S46,C3,201809,492,P15,S63,492,0
S43,C3,201809,958,P15,S62,958,16
S46,C2,201809,915,P15,S63,915,8
S50,C2,201809,93,P15,S63,93,2
S43,C2,201809,279,P15,S62,279,5
S7,C3,201809,103,P6,S7,103,1
S10,C3,201809,222,P9,S10,222,1
S10,C1,201809,10,P9,S10,10,1
S26,C2,201809,4,P17,S31,3,1
S27,C2,201809,7,P17,S32,6,1
S30,C3,201809,54,P19,S30,54,0
S30,C1,201809,1,P19,S30,1,0
S29,C3,201809,-2,P18,S29,-2,1
S29,C1,201809,2,P18,S29,2,3
S41,C2,201809,450,P16,S57,450,2
S47,C3,201809,607,P11,S66,607,5
S40,C3,201809,153,P11,S66,153,1
S47,C2,201809,"1,062",P11,S66,"1,062",8
S40,C2,201809,"3,528",P11,S66,"3,528",35
S47,C1,201809,15,P11,S66,15,2
S48,C3,201809,37,P12,S68,37,0
S42,C3,201809,61,P12,S68,61,2
S48,C2,201809,99,P12,S68,99,7
S42,C2,201809,"3,050",P12,S68,"3,050",37
S48,C1,201809,"1,699",P12,S68,"1,699",14
S25,C3,201809,5,P16,S57,5,2
S25,C2,201809,1,P16,S57,1,1
S35,C3,201809,333,P5,S6,333,0
S36,C3,201809,616,P13,S20,308,3
S37,C3,201809,289,P13,S21,145,0
S36,C1,201809,499,P13,S20,250,0
S37,C1,201809,848,P13,S21,424,2
S34,C3,201809,45,P19,S30,45,2
S34,C2,201809,31,P19,S30,31,1
S44,C3,201809,260,P20,S44,260,2
S44,C1,201809,29,P20,S44,29,1
S53,C3,201809,"1,636",P5,S6,818,33
S54,C3,201809,856,P21,S54,856,1
S54,C1,201809,"1,355",P21,S54,"1,355",0
S52,C3,201809,44,P4,S52,44,1
S52,C1,201809,471,P4,S52,471,2
S1,C5,201810,375,P1,S1,375,0
S3,C5,201810,11,P2,S3,11,0
S4,C2,201810,397,P3,S4,397,6
S4,C5,201810,"11,776",P3,S4,"11,776",0
S6,C5,201810,250,P5,S6,250,0
S7,C5,201810,20,P6,S7,20,0
S8,C3,201810,199,P7,S8,199,1
S8,C5,201810,440,P7,S8,440,0
S8,C2,201810,123,P7,S8,123,2
S10,C5,201810,46,P9,S10,46,0
S8,C1,201810,37,P7,S8,37,2
S11,C3,201810,28,P10,S11,28,1
S11,C2,201810,13,P10,S11,13,0
S11,C1,201810,2,P10,S11,2,1
S38,C3,201810,940,P17,S31,940,11
S38,C2,201810,"1,029",P17,S31,"1,029",11
S38,C1,201810,825,P17,S31,825,11
S39,C2,201810,"1,320",P17,S32,"1,320",8
S39,C1,201810,656,P17,S32,656,8
S39,C3,201810,356,P17,S32,356,1
S20,C5,201810,8,P13,S20,8,0
S20,C1,201810,10,P13,S20,10,5
S20,C3,201810,4,P13,S20,4,3
S20,C2,201810,12,P13,S20,12,2
S21,C3,201810,12,P13,S21,12,1
S21,C1,201810,4,P13,S21,4,2
S22,C5,201810,412,P14,S22,412,0
S23,C5,201810,331,P14,S23,331,0
S22,C3,201810,136,P14,S22,136,10
S23,C3,201810,65,P14,S23,65,4
S22,C2,201810,44,P14,S22,44,11
S23,C2,201810,44,P14,S23,44,10
S22,C1,201810,37,P14,S22,37,8
S23,C1,201810,34,P14,S23,34,2
S36,C5,201810,10,P13,S20,5,0
S1,C1,201810,28,P1,S1,28,2
S4,C1,201810,797,P3,S4,797,3
S6,C1,201810,169,P5,S6,169,1
S7,C1,201810,20,P6,S7,20,1
S44,C5,201810,975,P20,S44,975,0
S40,C1,201810,"9,288",P11,S66,"9,288",40
S41,C1,201810,"2,441",P16,S57,"2,441",4
S52,C5,201810,267,P4,S52,267,0
S46,C1,201810,"2,175",P15,S63,"2,175",6
S42,C1,201810,"10,760",P12,S68,"10,760",46
S38,C4,201810,1,P17,S31,1,0
S39,C4,201810,17,P17,S32,17,0
S6,C4,201810,15,P5,S6,15,0
S10,C4,201810,73,P9,S10,73,0
S11,C4,201810,5,P10,S11,5,0
S29,C4,201810,17,P18,S29,17,0
S1,C4,201810,7,P1,S1,7,0
S4,C4,201810,88,P3,S4,88,0
S8,C4,201810,13,P7,S8,13,0
S34,C4,201810,3,P19,S30,3,0
S30,C4,201810,2,P19,S30,2,0
S52,C4,201810,11,P4,S52,11,0
S40,C4,201810,13,P11,S66,13,0
S46,C4,201810,73,P15,S63,73,0
S41,C4,201810,9,P16,S57,9,0
S7,C4,201810,1,P6,S7,1,0
S20,C4,201810,12,P13,S20,12,0
S1,C2,201810,95,P1,S1,95,1
S52,C2,201810,142,P4,S52,142,4
S44,C2,201810,112,P20,S44,112,0
S6,C2,201810,320,P5,S6,320,2
S10,C2,201810,70,P9,S10,70,0
S3,C2,201810,4,P2,S3,4,0
S54,C2,201810,377,P21,S54,377,2
S7,C2,201810,131,P6,S7,131,2
S29,C2,201810,31,P18,S29,31,0
S1,C3,201810,80,P1,S1,80,1
S3,C3,201810,30,P2,S3,30,2
S3,C1,201810,6,P2,S3,6,1
S4,C3,201810,358,P3,S4,358,2
S5,C3,201810,1,P4,S52,1,0
S5,C2,201810,194,P4,S52,145,1
S50,C3,201810,660,P15,S63,660,15
S43,C3,201810,799,P15,S62,799,0
S46,C2,201810,2,P15,S63,2,8
S50,C2,201810,"1,202",P15,S63,"1,202",15
S43,C2,201810,867,P15,S62,867,8
S50,C1,201810,"2,241",P15,S63,"2,241",5
S7,C3,201810,78,P6,S7,78,1
S10,C3,201810,185,P9,S10,185,1
S10,C1,201810,7,P9,S10,7,1
S30,C3,201810,25,P19,S30,25,0
S30,C1,201810,1,P19,S30,1,0
S29,C3,201810,44,P18,S29,44,13
S29,C1,201810,1,P18,S29,1,2
S41,C2,201810,372,P16,S57,372,2
S47,C3,201810,749,P11,S66,749,2
S40,C3,201810,251,P11,S66,251,2
S40,C2,201810,"5,553",P11,S66,"5,553",15
S47,C1,201810,97,P11,S66,97,6
S48,C3,201810,13,P12,S68,13,0
S42,C3,201810,95,P12,S68,95,2
S48,C2,201810,61,P12,S68,61,7
S42,C2,201810,"3,262",P12,S68,"3,262",0
S48,C1,201810,"1,744",P12,S68,"1,744",2
S35,C3,201810,707,P5,S6,707,13
S36,C3,201810,101,P13,S20,51,0
S37,C3,201810,78,P13,S21,39,1
S36,C1,201810,74,P13,S20,37,1
S37,C1,201810,153,P13,S21,77,0
S34,C2,201810,46,P19,S30,46,1
S44,C3,201810,100,P20,S44,100,1
S44,C1,201810,33,P20,S44,33,2
S54,C3,201810,126,P21,S54,126,0
S54,C1,201810,799,P21,S54,799,0
S52,C3,201810,68,P4,S52,68,1
S52,C1,201810,582,P4,S52,582,2
S1,C5,201811,155,P1,S1,155,0
S3,C5,201811,96,P2,S3,96,0
S4,C2,201811,516,P3,S4,516,1
S4,C5,201811,"10,210",P3,S4,"10,210",0
S6,C5,201811,148,P5,S6,148,0
S7,C5,201811,34,P6,S7,34,0
S8,C3,201811,222,P7,S8,222,1
S8,C5,201811,310,P7,S8,310,0
S8,C2,201811,113,P7,S8,113,2
S9,C5,201811,146,P8,S9,146,0
S10,C5,201811,52,P9,S10,52,0
S8,C1,201811,41,P7,S8,41,1
S11,C3,201811,22,P10,S11,22,0
S11,C2,201811,9,P10,S11,9,0
S11,C1,201811,4,P10,S11,4,0
S38,C3,201811,748,P17,S31,748,10
S38,C2,201811,826,P17,S31,826,18
S38,C1,201811,885,P17,S31,885,11
S39,C2,201811,968,P17,S32,968,16
S39,C1,201811,743,P17,S32,743,4
S39,C3,201811,326,P17,S32,326,7
S20,C5,201811,55,P13,S20,55,0
S20,C1,201811,47,P13,S20,47,4
S20,C3,201811,32,P13,S20,32,3
S20,C2,201811,17,P13,S20,17,2
S21,C1,201811,17,P13,S21,17,0
S22,C5,201811,376,P14,S22,376,0
S23,C5,201811,323,P14,S23,323,0
S22,C3,201811,151,P14,S22,151,10
S23,C3,201811,77,P14,S23,77,15
S22,C2,201811,21,P14,S22,21,11
S23,C2,201811,29,P14,S23,29,10
S22,C1,201811,37,P14,S22,37,17
S23,C1,201811,36,P14,S23,36,10
S1,C1,201811,31,P1,S1,31,1
S4,C1,201811,723,P3,S4,723,3
S6,C1,201811,147,P5,S6,147,0
S7,C1,201811,27,P6,S7,27,1
S9,C1,201811,12,P8,S9,12,1
S44,C5,201811,"2,472",P20,S44,"2,472",0
S22,C4,201811,7,P14,S22,7,0
S40,C1,201811,"7,605",P11,S66,"7,605",14
S41,C1,201811,"2,233",P16,S57,"2,233",7
S52,C5,201811,213,P4,S52,213,0
S46,C1,201811,742,P15,S63,742,12
S42,C1,201811,"6,204",P12,S68,"6,204",21
S39,C4,201811,27,P17,S32,27,0
S23,C4,201811,6,P14,S23,6,0
S6,C4,201811,18,P5,S6,18,0
S10,C4,201811,71,P9,S10,71,0
S11,C4,201811,19,P10,S11,19,0
S29,C4,201811,74,P18,S29,74,0
S1,C4,201811,13,P1,S1,13,0
S4,C4,201811,357,P3,S4,357,0
S8,C4,201811,18,P7,S8,18,0
S34,C4,201811,18,P19,S30,18,0
S30,C4,201811,222,P19,S30,222,0
S3,C4,201811,14,P2,S3,14,0
S52,C4,201811,3,P4,S52,3,0
S44,C4,201811,1,P20,S44,1,0
S47,C4,201811,36,P11,S66,36,0
S46,C4,201811,48,P15,S63,48,0
S41,C4,201811,3,P16,S57,3,0
S48,C4,201811,50,P12,S68,50,0
S7,C4,201811,1,P6,S7,1,0
S9,C4,201811,47,P8,S9,47,0
S20,C4,201811,8,P13,S20,8,0
S1,C2,201811,70,P1,S1,70,1
S52,C2,201811,181,P4,S52,181,4
S44,C2,201811,69,P20,S44,69,0
S6,C2,201811,276,P5,S6,276,4
S9,C2,201811,66,P8,S9,66,3
S10,C2,201811,50,P9,S10,50,0
S3,C2,201811,24,P2,S3,24,0
S54,C2,201811,137,P21,S54,137,2
S7,C2,201811,130,P6,S7,130,2
S29,C2,201811,18,P18,S29,18,1
S30,C2,201811,5,P19,S30,5,2
S2,C2,201811,10,P1,S1,8,1
S1,C3,201811,76,P1,S1,76,1
S3,C3,201811,35,P2,S3,35,2
S3,C1,201811,6,P2,S3,6,1
S4,C3,201811,261,P3,S4,261,1
S5,C2,201811,20,P4,S52,15,0
S46,C3,201811,284,P15,S63,284,6
S50,C3,201811,"1,008",P15,S63,"1,008",6
S46,C2,201811,280,P15,S63,280,8
S50,C2,201811,777,P15,S63,777,7
S50,C1,201811,"5,883",P15,S63,"5,883",0
S7,C3,201811,80,P6,S7,80,1
S9,C3,201811,144,P8,S9,144,1
S10,C3,201811,169,P9,S10,169,1
S10,C1,201811,12,P9,S10,12,1
S30,C3,201811,14,P19,S30,14,0
S29,C3,201811,29,P18,S29,29,1
S29,C1,201811,4,P18,S29,4,3
S41,C2,201811,315,P16,S57,315,2
S47,C3,201811,"1,084",P11,S66,"1,084",2
S40,C3,201811,217,P11,S66,217,0
S47,C2,201811,996,P11,S66,996,8
S40,C2,201811,"2,727",P11,S66,"2,727",5
S47,C1,201811,"1,965",P11,S66,"1,965",0
S48,C3,201811,96,P12,S68,96,0
S42,C3,201811,23,P12,S68,23,2
S48,C2,201811,88,P12,S68,88,13
S42,C2,201811,"2,251",P12,S68,"2,251",25
S48,C1,201811,"4,628",P12,S68,"4,628",7
S25,C3,201811,1,P16,S57,1,1
S35,C3,201811,"1,088",P5,S6,"1,088",12
S34,C3,201811,1,P19,S30,1,0
S34,C2,201811,9,P19,S30,9,1
S44,C3,201811,140,P20,S44,140,1
S44,C1,201811,39,P20,S44,39,2
S54,C3,201811,181,P21,S54,181,1
S54,C1,201811,298,P21,S54,298,0
S52,C3,201811,76,P4,S52,76,1
S52,C1,201811,417,P4,S52,417,3
S55,C2,201811,550,P17,S31,550,15
S56,C2,201811,505,P17,S32,505,15
S1,C5,201812,34,P1,S1,34,0
S3,C5,201812,83,P2,S3,83,0
S4,C2,201812,619,P3,S4,619,5
S4,C5,201812,"4,624",P3,S4,"4,624",0
S6,C5,201812,211,P5,S6,211,0
S7,C5,201812,17,P6,S7,17,0
S8,C3,201812,158,P7,S8,158,1
S8,C5,201812,300,P7,S8,300,0
S8,C2,201812,136,P7,S8,136,2
S9,C5,201812,81,P8,S9,81,0
S10,C5,201812,40,P9,S10,40,0
S8,C1,201812,36,P7,S8,36,2
S11,C3,201812,21,P10,S11,21,0
S11,C2,201812,15,P10,S11,15,0
S38,C3,201812,831,P17,S31,831,16
S38,C2,201812,853,P17,S31,853,5
S38,C1,201812,700,P17,S31,700,11
S39,C2,201812,924,P17,S32,924,13
S39,C1,201812,551,P17,S32,551,1
S39,C3,201812,201,P17,S32,201,1
S20,C5,201812,68,P13,S20,68,0
S20,C1,201812,102,P13,S20,102,4
S20,C3,201812,163,P13,S20,163,3
S20,C2,201812,32,P13,S20,32,2
S21,C3,201812,59,P13,S21,59,3
S21,C2,201812,47,P13,S21,47,1
S21,C1,201812,74,P13,S21,74,1
S22,C5,201812,387,P14,S22,387,0
S23,C5,201812,292,P14,S23,292,0
S22,C3,201812,125,P14,S22,125,10
S23,C3,201812,60,P14,S23,60,14
S22,C2,201812,41,P14,S22,41,9
S23,C2,201812,46,P14,S23,46,10
S22,C1,201812,37,P14,S22,37,14
S23,C1,201812,34,P14,S23,34,9
S4,C1,201812,901,P3,S4,901,1
S6,C1,201812,142,P5,S6,142,0
S7,C1,201812,16,P6,S7,16,1
S9,C1,201812,9,P8,S9,9,0
S44,C5,201812,"2,172",P20,S44,"2,172",0
S45,C5,201812,105,P7,S8,105,0
S22,C4,201812,8,P14,S22,8,0
S40,C1,201812,"9,068",P11,S66,"9,068",36
S41,C1,201812,634,P16,S57,634,2
S52,C5,201812,343,P4,S52,343,0
S46,C1,201812,"3,288",P15,S63,"3,288",31
S42,C1,201812,"12,915",P12,S68,"12,915",63
S38,C4,201812,21,P17,S31,21,0
S39,C4,201812,19,P17,S32,19,0
S23,C4,201812,2,P14,S23,2,0
S6,C4,201812,45,P5,S6,45,0
S10,C4,201812,26,P9,S10,26,0
S11,C4,201812,26,P10,S11,26,0
S29,C4,201812,32,P18,S29,32,0
S1,C4,201812,21,P1,S1,21,0
S4,C4,201812,47,P3,S4,47,0
S8,C4,201812,17,P7,S8,17,0
S34,C4,201812,2,P19,S30,2,0
S30,C4,201812,143,P19,S30,143,0
S2,C4,201812,1,P1,S1,1,0
S3,C4,201812,8,P2,S3,8,0
S52,C4,201812,9,P4,S52,9,0
S44,C4,201812,4,P20,S44,4,0
S47,C4,201812,61,P11,S66,61,0
S46,C4,201812,61,P15,S63,61,0
S41,C4,201812,3,P16,S57,3,0
S48,C4,201812,11,P12,S68,11,0
S42,C4,201812,21,P12,S68,21,0
S7,C4,201812,2,P6,S7,2,0
S9,C4,201812,100,P8,S9,100,0
S57,C4,201812,10,P16,S57,10,0
S20,C4,201812,33,P13,S20,33,0
S21,C4,201812,1,P13,S21,1,0
S52,C2,201812,211,P4,S52,211,3
S44,C2,201812,44,P20,S44,44,1
S6,C2,201812,288,P5,S6,288,6
S9,C2,201812,77,P8,S9,77,3
S10,C2,201812,60,P9,S10,60,0
S57,C2,201812,30,P16,S57,30,30
S3,C2,201812,23,P2,S3,23,0
S54,C2,201812,205,P21,S54,205,3
S7,C2,201812,57,P6,S7,57,2
S45,C2,201812,99,P7,S8,99,0
S29,C2,201812,19,P18,S29,19,0
S30,C2,201812,20,P19,S30,20,1
